1000000.0,0.0,22329.438515792914,0.0
1039255.6829367131,0.0,23742.59482975878,0.0
1080052.374516254,0.0,25245.185133132352,0.0
1122450.5680853059,0.0,26842.86940731993,0.0
1166513.131698196,0.0,28541.665835232183,0.0
1212305.4013376527,0.0,37837.90186508973,0.0
1259895.2777950284,0.0,40684.05361075298,0.0
1309353.3273536095,0.0,43766.12263392005,0.0
1360752.886424333,0.0,47105.9337803472,0.0
1414170.170289024,0.0,50727.54506031044,0.0
1469684.3861124474,0.0,54657.49425252306,0.0
1527377.8503907125,0.0,58925.07412352327,0.0
1587336.1110102087,0.0,63562.63968100004,0.0
1649648.0740980208,0.0,68605.95129449527,0.0
1714406.135851972,0.0,74094.5579827212,0.0
1781706.3195457289,0.0,80072.22568956461,0.0
1851648.417912154,0.0,86587.41595777958,0.0
1924336.14111598,0.0,93693.82106824056,0.0
1999877.270535287,0.0,101450.96245233633,0.0
2078383.8185797553,0.0,109924.86001553305,0.0
2159972.194782717,0.0,119188.78094254577,0.0
2244763.3784132237,0.0,129324.07760143484,0.0
2332883.0978641585,0.0,140421.1253394557,0.0
2424462.017082331,0.0,152580.37228338857,0.0
2519635.9293170134,0.0,165913.514739252,0.0
2618545.958474233,0.0,180544.81345068387,0.0
2721338.7683753087,0.0,196612.5678443245,0.0
2828166.780230035,0.0,214270.76748955302,0.0
2939188.398646884,0.0,233690.94235713262,0.0
3054568.246515432,0.0,253491.6336511697,0.0
3174477.4091091934,0.0,273224.80020931206,0.0
3299093.687770942,0.0,294522.5258775647,0.0
3428601.863556583,0.0,317542.7920699031,0.0
3563193.971228584,0.0,342429.65397047484,0.0
3703069.584005141,0.0,369339.5607333803,0.0
3848436.109487433,0.0,398442.44635156565,0.0
3999509.097203661,0.0,429922.91822782217,0.0
4156512.558225988,0.0,463981.5523119571,0.0
4319679.297334174,0.0,500836.30447988905,0.0
4489251.258218608,0.0,540724.0487169621,0.0
4665479.882234468,0.0,583902.2536360177,0.0
4848626.481239078,0.0,630650.8099183536,0.0
5038962.625065151,0.0,680288.0120386258,25274.698795839133
5236770.544204655,0.0,729905.5228678137,58173.432711657704
5442343.548300272,0.0,783523.2768705186,103106.25797710099
5655986.461065002,0.0,841486.1305454132,184135.53239084536
5878016.072274912,0.0,904169.8551822046,330962.03136861644
6108761.607505039,0.0,970496.6785535973,588956.785267215
6348565.21630521,0.0,1038865.4641945532,895671.5771428638
6597782.479539533,0.0,1106686.9075759356,723211.0763288899
6856782.936641738,0.0,1179841.3230142973,585050.3678624132
7125950.633568411,0.0,1258780.3618240436,474329.1835032621
7405684.692262442,0.0,1343994.882983955,385560.68775431777
7696399.90247115,0.0,1436018.3830680086,314356.47047494457
7998527.336796708,0.0,1530571.9214018148,257206.60673261803
8312514.989890632,0.0,1621329.2252300915,212156.267581983
8638828.442740453,0.0,1712020.4033474096,175772.6478413908
8977951.553033313,0.0,1807883.4536980428,146355.72692803384
9330387.17262036,0.0,1909219.4392441604,122543.27375671668
9696657.89314552,0.0,2016347.3202302326,103240.40398241978
10077306.820944617,0.0,2132093.998859276,87567.07794414437
10472898.382363575,0.0,2261522.4671996804,74815.91019938329
10884019.160690054,0.0,2399491.4360513426,64418.265377502714
11311278.765939213,0.0,2545928.4329021918,55917.01285980988
