10000000.0,6635.212524697903,37063.35885008023,52947.655500114604,423581.24400091614
10647859.778233502,9138.854196133965,48242.847705732354,67838.6761898781,533821.943935206
11337691.785692256,12587.186274338239,62794.42627346842,86917.65374172505,672753.7440872702
12072215.234288095,17336.665505826146,81735.22415314546,111362.41088816614,847843.7526322057
12854325.502735365,23878.249221881906,106389.16960990775,142682.02171765774,1068502.4575414427
13687105.549689703,32888.14597655457,138479.5298178702,182809.97294394625,1346589.5080639694
14573838.066297753,45297.71574642769,180249.36418709048,234223.52588960106,1697051.1302334864
15518018.416061984,62389.74532972751,234618.31024831682,300096.64788352436,2138723.4353009067
16523368.413027314,85931.0510070314,305386.6611514976,384495.95414841763,2695344.796167704
17593850.99260071,118355.1157028777,397500.9994341562,492631.7564662727,3396831.7035840275
18733685.83283467,163013.63999255016,517399.9543901805,631179.7168751698,4280886.675010665
19947365.987750262,224523.00997560023,673464.2508673794,808692.963385709,5395024.635735648
21239675.5982669,255602.8296259785,765993.8691699724,915483.3595638264,6003287.66386454
22615708.75055137,288566.08253493335,866102.4776701982,1030769.1414989332,6643789.869322983
24080889.55612389,325780.36836057843,979294.3938824139,1160572.731297546,7352628.476128041
25640993.532873474,367793.9121494175,1107279.4901467871,1306722.3400506198,8137094.425215171
27302170.371262826,415225.6395770646,1251991.1039610663,1471276.403399818,9005256.541907517
29070968.175464787,468774.29469833086,1415615.2428957766,1656552.573454326,9966044.529884398
30954359.274983764,529228.7335477325,1600623.6063328984,1865160.361626782,11029340.819934048
32959767.70850881,597479.5452314154,1809810.9228531015,2100037.892144595,12206082.218225276
35095098.488335036,674532.1717074595,2046337.1672885218,2364493.2838893356,13508372.399626913
37368768.76070852,761521.7195295814,2313775.295170043,2662251.243404143,14949606.403153757
39789740.98492568,859729.6817545975,2616165.215643773,2997505.5253058765,16544608.410069361
42367558.26197192,970602.8163536197,2958074.8181691635,3374977.998977418,18309784.22179685
45112381.95196144,1095774.459235758,3344668.974865674,3799985.15346165,20263290.005988974
48035031.72865971,1237088.5858587513,3781787.560854481,4278512.977241368,22425219.0464383
51147028.22897648,1396626.9758918844,4276033.671167126,4817301.26754494,24817808.417690556
54460638.465549216,1576739.8811095578,4834873.36682227,5423938.556627397,27465667.710167497
57988924.18142366,1780080.6483017742,5466748.456830282,6106968.992010364,30396032.15840814
61745793.3374413,2009644.807251691,6181204.019806333,6876012.676029717,33639042.77604591
65746054.93528593,2268814.199607559,6989032.591527571,7741901.159605727,37228056.37891871
70005477.39229599,2561406.798736939,7902437.196526144,8716829.99859048,41199988.68513739
74540850.69814631,2891732.9544881536,8935215.686466139,9814530.52136318,45595694.021154225
79370052.59840992,3264658.8914327067,10102969.169912098,11050463.226923624,50460385.53939428
84512119.06588864,3685678.3960181405,11423337.68202111,12442035.537389213,55844100.26970919
89987319.33749545,4160993.7486955374,12916266.654173903,14008846.971816244,61802213.78805494
95817235.81247714,4697607.093279931,14604308.208825426,15772965.194483394,68396009.79615451
102024849.126919,5305086.494497793,16522165.406124674,17755007.062717296,75648505.01556449
108634628.739886,5995127.896119567,18714090.669932317,19975969.03814091,83564502.22330946
115672629.38827589,6774924.127647708,21196809.31608542,22474749.6637545,92308843.78207824
123166593.7905936,7656149.748713871,24008899.663203053,25286101.088963505,101968209.15194003
131146062.00448829,8651997.848289283,27194058.05100672,28449122.586332075,112638348.08937778
139642487.8691305,9777377.56231547,30801777.826367225,32007804.33031662,124425029.7796119
148689362.99141774,11049137.282780638,34888118.407534726,36011639.19691661,137445091.28785196
158322348.76474744,12486316.899970483,39516576.37684182,40516311.092934765,151827595.72239503
168579416.94076073,14110432.854288224,44759072.13756549,45584469.38788677,167715111.59002328
179500999.30815855,15945800.26523661,50697067.4663471,51286600.21907944,185265126.02547294
191130147.0686057,18019896.960251298,57422831.32652813,57702006.78765872,204651605.90380567
203512700.53796563,20407982.119809575,65470926.945900545,65140629.79656388,226488022.74976346
216697469.8417879,23243500.71339687,75939784.37570049,74191376.01447888,251873257.47044018
230736427.31733456,26472990.92296178,88082621.09673758,84499647.79450424,280103720.5347635
245684912.38055393,30151191.812654942,102167107.8349017,96240167.80605008,311498310.8781384
261601849.6655717,34340447.982210904,118503716.0949678,109611934.97352141,346411670.2723015
278549981.29655224,39111766.29256736,137452562.0418845,124841597.4591041,385238189.454552
296596114.20752585,44546019.414681405,159431344.72456056,142187294.29332647,428416463.2720505
315811383.4850658,49210699.536392644,177042981.39636508,156147678.26521444,462156858.2544325
336271532.7718901,53996581.100652374,194706844.54635093,170095990.98331627,495195876.69806665
358057212.8366745,59247903.36303102,214133059.74735203,185290274.37381983,530596813.4389727
381254299.48700106,65009931.765339814,235497459.69945768,201841828.12922835,568528519.0757906
405954232.078622,71332333.94333433,258993420.21419588,219871894.087417,609171915.1262634
432254373.95536363,78269607.85269178,284833610.5189931,239512544.34059483,652720856.9622008
460258396.24048096,85881551.53146484,313251918.1923149,260907648.67699462,699383058.4346017
490076686.4923265,94233778.54828463,344505566.15270346,284213928.4419118,749381082.5990835
521826783.8351603,103398283.57937609,378877440.8632094,309602104.53771573,802953403.2670431
555633842.280334,113454062.9895568,416678652.82451,337258147.9720583,860355542.4457582
591631124.0642093,124487795.76652226,458251352.5325824,367384642.1146875,921861289.0927137
629960524.9474356,134795010.027587,503938848.2658141,404724008.54802155,990500637.4664861
670773133.5462676,145398709.41537747,554170916.9458001,447304733.04016405,1065099807.2459152
714229826.9006938,156836552.74279478,609410062.8387287,494365345.208797,1145317384.4460702
760501904.6270558,169174158.25179246,670155385.87967,546377170.8435495,1231576517.233867
809771764.1548381,182482306.067629,736955735.7348385,603861123.5844527,1324332223.0156217
862233619.7093503,196837344.26033208,810414670.799943,667392922.0243652,1424073788.6564147
918094267.8743854,212321626.8491334,891195911.5059868,737608855.6989573,1531327351.4710102
977573902.7526381,229023986.26268893,980029337.2046427,815212157.7124918,1646658674.601156
1040906983.9370586,248597083.360238,1059989957.8651024,889134234.03494,1766649929.7751696
1108343160.714573,270803688.65876263,1135767320.339494,962525635.1161902,1892945533.8991556
1180148256.1452866,294993958.8990431,1216961912.1196618,1041974949.1047294,2028269853.5327687
1256605314.896183,321345090.3048283,1303961004.1846147,1127982211.5394852,2173268340.30769
1338015718.9597483,350050107.6307051,1397179553.0334938,1221088732.164538,2328632588.389155
1424700375.6555655,381319278.08833593,1497062179.8890035,1321880501.8070126,2495103633.148338
1517000982.5977087,415381651.5754612,1604085291.3915398,1430991880.4673026,2673475485.652565
1615281374.614281,452486738.49001235,1718759351.8990886,1549109589.8336332,2864598919.831813
1719928957.9285088,492906337.4195149,1841631318.2311344,1676977035.3489857,3069385530.3852224
1831356237.2545993,536936526.093753,1973287248.4692595,1815398985.0323598,3288812080.7820973
1950002441.8280256,584899830.1846813,2114355097.2576718,1965246634.501873,3523925162.096118
2076335256.779779,631361993.4138405,2267163521.8042455,2121995680.3781652,3723911243.5348206
2210852666.6793494,677326097.7849096,2432216442.045812,2287265659.070545,3898581123.7503076
2354084918.5135274,726636458.2066622,2609285463.560287,2465407561.1648197,4081443886.4109726
2506596611.838633,779536687.1612816,2799245376.624602,2657423906.376772,4272883818.2792187
2668988924.3452897,836288132.4866775,3003034657.565797,2864395294.888383,4473303231.069809
2841901981.608685,897171168.5371321,3221660105.2015204,3087486488.584104,4683123306.909455
3026017380.3653264,962486581.3423612,3456201814.8202972,3327952965.919439,4902784983.452487
3222060875.26274,1032557054.608204,3707818514.2749147,3587147987.310212,5132749880.51299
